    x       y    
766961.9 3724665    
767024.6 3724664  
767004.8 3724593  
766954.1 3724658  
766957.0 3724662  
766935.6 3724682 
766957.2 3724662 
767027.3 3724559 
767038.1 3724568 
767010.9 3724579 
766872.5 3724534 
766869.3 3724567 
766843.4 3724555 
766851.1 3724561 
766855.4 3724554 
766847.8 3724556 
766846.2 3724555 
766844.3 3724556 
766884.8 3724586 
