"","time","long","lat","id","xdata","ydata","utm.zone"
"1.1",19457760,-115.570166664331,31.03349996567,269,636459.500000013,3434192.49999992,"11N"
"1.2",19457820,-115.570166664331,31.03349996567,269,636459.500000013,3434192.49999992,"11N"
"1.3",19457880,-115.570166789396,31.0336668713235,269,636459.250000012,3434210.99999992,"11N"
"1.4",19457940,-115.570166664331,31.03349996567,269,636459.500000013,3434192.49999992,"11N"
"1.5",19458000,-115.570166789396,31.0336668713235,269,636459.250000012,3434210.99999992,"11N"
"1.6",19458060,-115.570166789396,31.0336668713235,269,636459.250000012,3434210.99999992,"11N"
"1.7",19458120,-115.570332993695,31.0334995531668,269,636443.625000013,3434192.24999992,"11N"
"1.8",19458180,-115.570499977774,31.033499147702,269,636427.687500013,3434191.99999992,"11N"
"1.9",19458240,-115.57033311905,31.033666458829,269,636443.375000013,3434210.74999992,"11N"
"1.10",19458300,-115.57033311905,31.033666458829,269,636443.375000013,3434210.74999992,"11N"
"1.11",19458360,-115.57033311905,31.033666458829,269,636443.375000013,3434210.74999992,"11N"
"1.12",19458420,-115.570166789396,31.0336668713235,269,636459.250000012,3434210.99999992,"11N"
"1.13",19458480,-115.57033311905,31.033666458829,269,636443.375000013,3434210.74999992,"11N"
"1.14",19459020,-115.57033311905,31.033666458829,269,636443.375000013,3434210.74999992,"11N"
"1.15",19459080,-115.57033311905,31.033666458829,269,636443.375000013,3434210.74999992,"11N"
"1.16",19459140,-115.57033311905,31.033666458829,269,636443.375000013,3434210.74999992,"11N"
"1.17",19459200,-115.57033311905,31.033666458829,269,636443.375000013,3434210.74999992,"11N"
"1.18",19459260,-115.57033311905,31.033666458829,269,636443.375000013,3434210.74999992,"11N"
"1.19",19460460,-115.57033311905,31.033666458829,269,636443.375000013,3434210.74999992,"11N"
"1.20",19460520,-115.570166789396,31.0336668713235,269,636459.250000012,3434210.99999992,"11N"
"1.21",19460580,-115.570166789396,31.0336668713235,269,636459.250000012,3434210.99999992,"11N"
"1.22",19460640,-115.570166789396,31.0336668713235,269,636459.250000012,3434210.99999992,"11N"
"1.23",19460700,-115.57033311905,31.033666458829,269,636443.375000013,3434210.74999992,"11N"
"1.24",19460820,-115.570166789396,31.0336668713235,269,636459.250000012,3434210.99999992,"11N"
"1.25",19460880,-115.57033311905,31.033666458829,269,636443.375000013,3434210.74999992,"11N"
"1.26",19460940,-115.57033311905,31.033666458829,269,636443.375000013,3434210.74999992,"11N"
"1.27",19461000,-115.57033311905,31.033666458829,269,636443.375000013,3434210.74999992,"11N"
"1.28",19475160,-115.57033311905,31.033666458829,269,636443.375000013,3434210.74999992,"11N"
"1.29",19475220,-115.570166789396,31.0336668713235,269,636459.250000012,3434210.99999992,"11N"
"1.30",19475280,-115.570166789396,31.0336668713235,269,636459.250000012,3434210.99999992,"11N"
"1.31",19475340,-115.57033311905,31.033666458829,269,636443.375000013,3434210.74999992,"11N"
"1.32",19475400,-115.57033311905,31.033666458829,269,636443.375000013,3434210.74999992,"11N"
"1.33",19475460,-115.570166789396,31.0336668713235,269,636459.250000012,3434210.99999992,"11N"
"1.34",19475520,-115.57033311905,31.033666458829,269,636443.375000013,3434210.74999992,"11N"
"1.35",19475700,-115.570166789396,31.0336668713235,269,636459.250000012,3434210.99999992,"11N"
"1.36",19475760,-115.570166664331,31.03349996567,269,636459.500000013,3434192.49999992,"11N"
"1.37",19476300,-115.57033311905,31.033666458829,269,636443.375000013,3434210.74999992,"11N"
"1.38",19476360,-115.570166789396,31.0336668713235,269,636459.250000012,3434210.99999992,"11N"
"1.39",19476420,-115.570166789396,31.0336668713235,269,636459.250000012,3434210.99999992,"11N"
"1.40",19476600,-115.570166789396,31.0336668713235,269,636459.250000012,3434210.99999992,"11N"
"1.41",19476660,-115.57033311905,31.033666458829,269,636443.375000013,3434210.74999992,"11N"
"1.42",19476720,-115.57033311905,31.033666458829,269,636443.375000013,3434210.74999992,"11N"
"1.43",19476780,-115.570166789396,31.0336668713235,269,636459.250000012,3434210.99999992,"11N"
"1.44",19476840,-115.570166789396,31.0336668713235,269,636459.250000012,3434210.99999992,"11N"
"1.45",19476900,-115.570166789396,31.0336668713235,269,636459.250000012,3434210.99999992,"11N"
"1.46",19476960,-115.570166789396,31.0336668713235,269,636459.250000012,3434210.99999992,"11N"
"1.47",19477020,-115.57033311905,31.033666458829,269,636443.375000013,3434210.74999992,"11N"
"1.48",19477080,-115.57033311905,31.033666458829,269,636443.375000013,3434210.74999992,"11N"
"1.49",19477140,-115.570166789396,31.0336668713235,269,636459.250000012,3434210.99999992,"11N"
"1.50",19477200,-115.57033311905,31.033666458829,269,636443.375000013,3434210.74999992,"11N"
"1.51",19477740,-115.57033311905,31.033666458829,269,636443.375000013,3434210.74999992,"11N"
"1.52",19477860,-115.570166789396,31.0336668713235,269,636459.250000012,3434210.99999992,"11N"
"1.53",19478040,-115.570166789396,31.0336668713235,269,636459.250000012,3434210.99999992,"11N"
"1.54",19478100,-115.570166789396,31.0336668713235,269,636459.250000012,3434210.99999992,"11N"
"1.55",19478160,-115.570166789396,31.0336668713235,269,636459.250000012,3434210.99999992,"11N"
"1.56",19478220,-115.57033311905,31.033666458829,269,636443.375000013,3434210.74999992,"11N"
"1.57",19478400,-115.570166789396,31.0336668713235,269,636459.250000012,3434210.99999992,"11N"
"1.58",19478460,-115.57033311905,31.033666458829,269,636443.375000013,3434210.74999992,"11N"
"1.59",19478520,-115.57033311905,31.033666458829,269,636443.375000013,3434210.74999992,"11N"
"1.60",19478580,-115.570166789396,31.0336668713235,269,636459.250000012,3434210.99999992,"11N"
"1.61",19478640,-115.570166789396,31.0336668713235,269,636459.250000012,3434210.99999992,"11N"
"1.62",19479180,-115.57033311905,31.033666458829,269,636443.375000013,3434210.74999992,"11N"
"1.63",19479300,-115.570166789396,31.0336668713235,269,636459.250000012,3434210.99999992,"11N"
"1.64",19479360,-115.57033311905,31.033666458829,269,636443.375000013,3434210.74999992,"11N"
"1.65",19479420,-115.570166789396,31.0336668713235,269,636459.250000012,3434210.99999992,"11N"
"1.66",19479480,-115.57033311905,31.033666458829,269,636443.375000013,3434210.74999992,"11N"
"1.67",19479540,-115.57033311905,31.033666458829,269,636443.375000013,3434210.74999992,"11N"
"1.68",19479600,-115.57033311905,31.033666458829,269,636443.375000013,3434210.74999992,"11N"
"1.69",19479660,-115.57033311905,31.033666458829,269,636443.375000013,3434210.74999992,"11N"
"1.70",19479720,-115.570166789396,31.0336668713235,269,636459.250000012,3434210.99999992,"11N"
"1.71",19479780,-115.57033311905,31.033666458829,269,636443.375000013,3434210.74999992,"11N"
"1.72",19479840,-115.57033311905,31.033666458829,269,636443.375000013,3434210.74999992,"11N"
"1.73",19479900,-115.57033311905,31.033666458829,269,636443.375000013,3434210.74999992,"11N"
"1.74",19479960,-115.57033311905,31.033666458829,269,636443.375000013,3434210.74999992,"11N"
"1.75",19480020,-115.570166789396,31.0336668713235,269,636459.250000012,3434210.99999992,"11N"
"1.76",19480080,-115.570166789396,31.0336668713235,269,636459.250000012,3434210.99999992,"11N"
